UNTR_The_002_1	UNTR_The_002_2	UNTR_The_002_3	UNTR_The_008_1	UNTR_The_008_2	UNTR_The_008_3	UNTR_The_024_1	UNTR_The_024_2	UNTR_The_024_3	UNTR_The_072_1	UNTR_The_072_2	UNTR_The_072_3
P63173 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P63208	1764.7688	408.80634	3216.1633	13754.042	14838.577	16448.387	12757.546	11508.751	11185.785	11824.656	8955.583	10638.568
P63208 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P63220	34411.78	15614.987	42891.39	15561.834	23709.629	44224.65	30298.535	34610	13297.36	7400.8667	4980.3057	5115.414
P63220 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P63241	39510.75	18938.945	67492.71	NA	NA	NA	NA	NA	NA	NA	NA	NA
P63241 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P63244	49485.406	16401.139	55167.133	46830.83	38366.96	105080.625	41514.53	48205.65	43327.94	40942.535	31259.707	41173.645
P63244 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P67775	14051.925	6662.039	14331.213	NA	NA	NA	NA	NA	NA	NA	NA	NA
P67775 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P67809	1963.0442	1459.433	520.62744	8176.416	11112.835	25510.395	NA	NA	9835.923	7341.1475	7366.8936	7141.415
P67809 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P68032	546225.5	406880.03	941589.1	120000.28	66060.92	102859.84	829594.1	815223.75	637267.44	NA	NA	NA
P68032 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P68371	52162.11	27535.955	83144.37	80131.42	65728.1	90411.555	99592.766	122039.984	186313.08	149223.05	109418.375	165516.25
P68371 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P69905	144519.67	79681.484	138729.22	313300.2	202479.44	309975.62	205426.06	246676.78	214788.67	331083.5	310700.97	361708.2
P69905 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P78371	29693.541	16655.057	40323.016	39143.473	28849.156	46601.266	43865.184	48072.633	41026.953	39006.1	27740.395	31436.648
P78371 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P78417	10004.293	8395.4375	22405.451	17397.918	15132.662	18847.982	NA	NA	NA	NA	NA	NA
P78417 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P78527	4353.1934	2403.8757	5207.5283	NA	NA	NA	NA	NA	NA	NA	NA	NA
P78527 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P80723	3743.1665	138.62396	6586.3076	NA	NA	NA	NA	NA	NA	NA	NA	NA
P80723 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P82979	4338.591	4047.2368	9817.85	8285.488	8566.845	8297.276	4910.297	5127.938	8869.718	NA	NA	NA
P82979 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P83731	10204.348	4648.7295	19660.287	21485.879	20237.07	27384.555	5015.686	3763.5098	6272.841	8040.4033	4676.7744	7215.8853
P83731 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P84090	8803.846	1562.8395	7243.1523	NA	NA	NA	NA	NA	NA	NA	NA	NA
P84090 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P84103	33023.277	10373.688	63569.25	49268.332	42930.91	61418.176	32120.69	36085.133	38353.633	23324.145	17851.938	21170.596
P84103 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P98160	7191.4043	4868.8174	14393.779	11139.026	11468.636	21282.748	7473.049	8879.65	8227.41	14462.133	9125.658	15816.455
P98160 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P99999	36219.25	14476.15	40567.297	55437.83	51600.94	69638.3	56899.176	75499.42	61715.867	93908.305	57321.39	67158.03
P99999 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q00325	60782.69	32444.873	77659.72	68335.695	81491.75	117377.9	15949.902	16996.184	3224.4536	71793.65	86688.98	78713.11
Q00325 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q00610	47967.434	11988.233	44945.21	48392.656	53286.555	72546.3	20828.246	22361.176	10994.803	71373.875	60526.074	79067.45
Q00610 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q00688	8864.863	6958.6836	11884.472	9297.622	2943.976	4526.6626	23233.59	22477.812	26616.465	8090.9355	7901.203	8539.662
Q00688 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q00796	1796.4246	984.1428	3021.1387	10163.9	8592.233	10705.136	NA	NA	NA	NA	NA	NA
Q00796 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q00839	63442.39	51964.477	179953.66	185722.6	127910.53	230625.31	56404.242	65234.918	29916.809	74270.34	52474.547	70359.2
Q00839 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q01082	25250.965	14167.267	37150.37	38350.707	28610.088	47944.914	16774.04	17726.617	13380.393	36319.91	31581.186	33096.465
Q01082 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q01130	8880.765	4108.982	14748.175	20197.176	10929.058	26981.408	11527.467	10029.63	27142.93	10338.498	10959.566	8567.582
Q01130 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q01449	262426.2	123752.2	339982.88	77146.13	56927.12	84911.51	269382.5	305447.38	257120.06	317874.62	246891.81	287175.25
Q01449 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q01469	101418.945	19040.785	116169.66	97984.91	74890.57	152436.4	NA	NA	NA	90677.57	63293.812	70468.17
Q01469 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q01484	1359.905	273.3987	5180.2256	2868.213	2100.5278	3297.3682	1658.9812	2872.4536	814.73724	2087.6506	282.03088	1607.1501
Q01484 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q01518	9590.531	4267.4175	18233.432	3856.9749	3144.3174	3593.651	7252.1904	5519.7686	6327.2256	NA	NA	NA
Q01518 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q01813	22570.426	14266.569	40099.773	14955.705	19400.346	33901.062	13982.061	16072.037	12395.961	22236.871	15915.447	20729.844
Q01813 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q01995	29055.123	11821.097	29485.418	34263.273	24162.43	35777.816	28774.883	24429.232	29540.088	23011.703	15978.961	18957.371
Q01995 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q02218	17307.32	4744.1396	23479.27	17914	18430.15	28422.168	8753.627	10894.291	7291.106	29174.924	14692.175	23944.492
Q02218 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q02224	1277.7678	264.23126	3033.8857	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q02224 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q02543	13906.713	5764.6074	22874.408	23939.773	17506.795	26917.105	11188.037	15689.101	5303.4927	23468.836	20742.354	19524.043
Q02543 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q02878	15171.989	9741.56	34292.992	36345.715	29534.008	45973.754	11063.665	13320.232	4768.874	30521.262	17414.49	26494.336
Q02878 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q02978	23761.082	7925.4307	34939.22	29717.107	28443.898	51917.938	23239.938	20854.121	15761.545	36117.664	28995.746	41502.83
Q02978 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q03135	1636.9277	4743.589	9092.886	3216.6782	3647.687	4833.8643	NA	NA	NA	NA	NA	NA
Q03135 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q03252	5049.254	1636.682	10803.3955	8069.2695	5847.228	8807.094	7938.2197	10085.243	7656.51	9220.18	6704.086	8512.705
Q03252 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q04446	6427.6406	2126.7083	6642.4097	16289.62	10355.141	19949.332	11768.083	10405.547	10167.537	43266.207	26317.25	42298.844
Q04446 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q04760	17992.992	7203.0356	23825.738	21152.945	13169.02	30652.213	13356.398	16042.072	18626.209	NA	NA	NA
Q04760 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q04837	2421.7903	1353.7109	5211.5864	24409.691	19529.127	31526.848	11288.181	12135.199	9369.682	18274.531	9856.51	15075.999
Q04837 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q04917	7513.3125	6183.5127	15885.809	16301.773	12417.621	19790.623	21530.74	23912.004	21947.586	4248.8145	1715.3555	3825.2651
Q04917 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q05639	9939.2705	6103.084	20506.336	27770.902	18942.695	37987.25	4304.718	1145.3784	12347.945	20244.818	169.31305	1571.121
Q05639 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q06033	30753.54	12365.479	12720.124	18351.773	9732.545	12959.096	25033.262	21535.043	30181.64	24222.176	17398.838	18048.16
Q06033 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q06210	1938.0483	350.3855	5853.1406	3576.8413	5363.438	9056.877	NA	NA	NA	NA	NA	NA
Q06210 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q06323	8513.767	4840.457	12753.104	21096.549	12249.19	26041.43	10644.893	10859.018	10289.392	14061.371	1170.7178	9604.051
Q06323 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q06830	27653.578	14907.824	41703.15	88358.06	84088.195	103464.34	29288.367	31725.86	26436.777	33811.938	23090.934	28089.059
Q06830 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q07020	8729.93	4922.1343	16810.031	31000.06	21103.764	39205.125	13296.303	19190.586	9930.275	14252.957	10205.204	12879.055
Q07020 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q07065	29622.258	5335.238	31298.293	24961.176	22270.395	30896.473	23564.393	17727.64	13543.947	41429.22	32101.004	39383.03
Q07065 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q07157	2412.1477	306.66434	3404.7295	3888.5027	3366.559	4347.6895	NA	NA	NA	NA	NA	NA
Q07157 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q07666	9274.122	3924.2432	14235.73	19316.041	11197.216	19589.766	7368.084	7563.9346	6207.455	14193.732	9816.992	11846.293
Q07666 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q07954	3977.7368	1896.1835	7227.8213	4293.4375	2724.767	5586.417	NA	NA	NA	2481.9126	2361.0996	3051.4648
Q07954 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q07955	14901.033	8253.91	15567.592	22898.926	16809.123	22578.68	11469.705	11372.643	8696.161	41485.11	16303.319	32927.67
Q07955 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q07960	10249.113	10614.182	27478.652	16193.975	12361.473	16036.672	18386.203	14120.69	9407.314	16431.896	12894.912	13654.408
Q07960 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q08211	12732.531	2726.5588	10026.566	11308.869	8872.941	12576.237	8161.7285	11280.6045	6365.804	8684.309	7875.922	9518.72
Q08211 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q08257	7582.4775	4679.295	10480.429	6515.624	4933.624	5868.92	9589.641	11734.008	8296.143	11434.45	9018.582	9700.357
Q08257 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q08380	17415.953	8808.401	31739.602	11448.212	9415.525	12993.777	18127.877	23118.709	17818.67	37946.062	24607.371	33123.016
Q08380 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q09666	54473.797	14984.137	40197.625	53085.965	55227.938	91844.37	35311.69	36996.844	52530.86	19004.764	12725.653	14587.511
Q09666 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q0ZGT2	5512.2476	4231.802	11155.234	9338.681	6619.8936	8623.022	3756.5637	5457.161	6863.2417	10310.881	5249.631	9944.998
Q0ZGT2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q12797	8820.101	7408.0312	17221.568	NA	NA	NA	19499.371	24518.293	11947.394	30846.285	17720.912	28401.77
Q12797 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q12904	1901.2286	1215.4579	3158.033	NA	NA	NA	NA	NA	NA	6821.7866	4486.0894	5066.4053
Q12904 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q12905	14462.774	8284.677	28720.059	26687.611	24574.672	29083.309	11566.04	16693.57	1684.8103	17939.082	12002.151	18286.324
Q12905 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q12906	2739.8992	2522.5813	8262.534	19295.393	17355.297	26429.17	3714.9714	3433.163	3749.3008	3898.9595	3086.352	4093.9866
Q12906 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q12931	139873.42	66598.445	238418.44	225059.17	168298.34	230447.89	172543	175943.08	157410.45	232656.7	126121.72	188748.88
Q12931 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q12955	5866.9272	722.4752	8312.117	11397.314	8442.196	11605.346	5362.82	4741.7344	6747.4062	14371.914	11004.105	11214.773
Q12955 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13011	87679.3	38789.727	117997.484	65773.7	52460.582	89036.37	105250.67	130115.03	133053.64	77894.07	47671.5	62938.156
Q13011 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13148	15088.514	6189.57	27196.105	24869.254	18876.992	29212.521	4687.0107	6630.5815	8380.21	16585.693	14769.918	16402.176
Q13148 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13151	5874.2676	3252.6572	12532.07	5966.134	4663.5625	6644.8154	2512.0657	2399.9285	4289.532	NA	NA	NA
Q13151 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13162	14147.327	6313.3003	30372.508	20501.094	13154.28	23108.764	23057.73	23855.32	16426.195	27087.86	17639.229	19989.93
Q13162 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13200	3659.004	2087.2505	8371.657	14925.703	12092.793	19232.623	7666.9854	10859.175	6641.8975	9277.768	3963.4243	7875.1475
Q13200 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13243	1259.8002	236.91536	908.80896	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13243 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13247	3744.1797	1463.5286	3382.7754	14801.934	9212.517	15742.011	NA	NA	NA	NA	NA	NA
Q13247 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13263	19255.277	5756.536	24377.285	3712.8286	2723.7998	3270.8823	4287.325	4635.719	4331.2134	11649.935	8743.424	10874.751
Q13263 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13310	9008.824	4655.3467	16546.404	8624.32	6548.107	11097.724	13504.095	14307.289	15575.332	21928.594	10827.299	18833.607
Q13310 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13347	2411.052	1157.676	5322.8994	4233.631	4071.0479	6312.036	NA	NA	NA	2683.5063	2538.6582	2870.831
Q13347 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13418	2133.403	610.53125	3906.5652	4602.825	4054.8547	7375.166	NA	NA	NA	NA	NA	NA
Q13418 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13423	13340.21	9359.012	24207.717	47917.21	41651.72	75943.03	22357.82	24420.375	17096.836	28564.06	18944.346	31296.973
Q13423 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13428	443.28528	319.07672	687.8284	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13428 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13492	9601.377	5589.6533	13438.205	NA	NA	NA	NA	NA	NA	4229.408	1778.3248	3041.08
Q13492 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13509	6055.978	3298.4197	18127.043	23725.963	19149.389	26131.438	12309.368	10955.895	3658.5515	22356.143	21466.508	26665.117
Q13509 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13510	37328.727	14347.936	47711.96	51769.727	55010.598	82850.45	NA	NA	NA	41434.223	14378.448	43698.99
Q13510 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13557	13438.602	9330.219	26038.602	20578.246	18670.955	25726.164	20416.947	21863.256	16827.852	24602.885	21286.621	22722.379
Q13557 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13561	23646.264	9441.201	33947.375	20630.305	15857.134	28763.613	7604.4653	8246.348	21047.85	19329.547	11100.073	16493.734
Q13561 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13595	4724.205	2633.6553	9008.496	7039.5615	7794.8247	11373.941	3160.2688	3703.8264	6423.6836	7854.6304	4680.76	7137.0835
Q13595 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13642	10651.053	4550.5615	23621.305	13900.488	17762.021	27976.36	NA	NA	NA	NA	NA	NA
Q13642 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13813	48914.105	21758.895	58570.86	48022.383	35645.414	46643.816	43109.594	51789.723	31802.52	43133.93	38927.26	41415.29
Q13813 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q13838	24482.55	6932.134	36564.66	32254.871	32744.156	61757.586	12429.587	14909.684	4809.5894	47934.656	13402.242	26809.748
Q13838 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14011	8244.225	3074.0925	10060.019	NA	NA	NA	14743.447	16135.534	14119.73	38255.758	20877.832	31418.02
Q14011 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14103	66372.59	42003.34	93967.125	25162.205	21637.389	34788.38	46307.945	45168.97	19444.984	38325.133	27318.457	34394.957
Q14103 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14112	22755.932	10983.21	38425.19	29596.67	22769.102	33937.203	13357.854	15785.953	19276.695	53019.18	29482.469	46534.16
Q14112 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14141	16617.066	6189.5723	18881.355	9700.466	12047.694	14458.27	NA	NA	NA	NA	NA	NA
Q14141 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14152	61.551865	2211.1345	8246.737	5694.1646	4334.2915	10868.791	6750.339	6864.339	4561.417	15253.252	9001.355	12167.656
Q14152 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14192	78639.516	28300.637	74035.92	151584.84	85793.94	147040.1	125496.87	137498.16	125377.55	132176.83	123373.07	140924.66
Q14192 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14194	3716.5486	1550.9144	5295.1416	5011.177	4100.3467	5278.177	3766.6216	4816.8965	6909.415	2992.959	1751.9932	2112.9333
Q14194 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14195	138077.88	65900.03	181102.67	270809.9	190171.5	274043.62	147524.5	159101.39	200255.08	262040.03	186492.48	227453.6
Q14195 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14203	1033.3805	2179.3022	6668.594	3703.7812	3087.5815	4281.4023	1930.978	1966.6589	1371.2322	14793.256	9923.67	12209.283
Q14203 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14204	8370.899	4323.8965	11600.244	9760.23	7655.8447	11713.741	5658.445	6620.283	4936.714	12649.815	7081.1953	10970.635
Q14204 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14240	11321.907	4063.5083	12180.759	22497.285	17609.277	29014.303	9528.659	8633.361	7434.1123	16306.211	15373.701	14637.901
Q14240 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14247	2272.8499	5564.659	10806.935	9901.679	6414.205	10827.48	5981.5664	7804.5527	7671.535	6462.6777	5040.802	6777.5996
Q14247 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14254	4958.524	3118.29	8952.9	6291.202	7865.669	12936.563	NA	NA	NA	NA	NA	NA
Q14254 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14315	68706.375	40633.555	99453.31	118663.37	98034.99	204480.61	118770.17	122036.36	107749.336	145094.16	133673.12	144485.75
Q14315 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14444	4685.584	2250.8113	5233.705	6949.2227	6068.37	7754.7007	NA	NA	NA	NA	NA	NA
Q14444 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14697	14307.318	8003.4375	24774.852	29832.22	26711.79	38251.58	28803.125	29646.766	18373.379	10378.512	8159.506	10240.381
Q14697 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14764	11478.91	3250.7527	10051.751	13897.76	8346.104	16271.382	4891.5005	5807.099	7326.801	13368.3955	9114.691	10681.439
Q14764 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14896	30291.652	16572.643	44707.094	53851.918	34973.45	81445.15	45120.992	43020.13	37836.562	61417.336	41366.555	57002.586
Q14896 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14914	1363.3093	786.46204	4610.0684	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14914 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14974	15382.323	5203.5127	24546.06	15739.502	18187.844	26397.72	23489.63	26515.379	20577.613	29931.432	8617.313	26938.55
Q14974 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q14BN4	1790.0706	343.1726	4714.8296	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14BN4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15008	2245.2744	761.5013	3902.916	4379.74	3744.9468	5675.923	NA	NA	NA	5640.7417	2883.1729	5210.5967
Q15008 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15019	37106.203	12507.211	39651.625	54586.867	43947.164	81823.8	26491.516	25240.584	36076.78	37495.523	6090.014	33579.77
Q15019 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15029	1719.6038	0.95608646	2324.9014	3257.517	3975.089	7139.246	NA	NA	NA	NA	NA	NA
Q15029 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15063	24067.273	7394.828	35165.125	16618.178	12209.994	26591.947	10871.952	11592.707	18674.37	12746.16	6229.3086	12258.053
Q15063 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15075	2328.975	1954.6167	3534.2817	5363.012	5023.6094	5908.3545	NA	NA	NA	NA	NA	NA
Q15075 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15084	83139.25	36148.055	86480.53	109702.89	79788.32	136010.03	40956.164	47524.906	53499.816	86840.91	61380.492	83526.65
Q15084 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15124	7364.7275	2315.8555	10295.664	8270.176	4727.6904	7522.6455	2687.0427	3167.3066	2999.8477	NA	NA	NA
Q15124 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15149	17733.84	5928.7686	25633.969	30713.947	26272.242	42653.617	24893.598	23066.838	23820.111	35293.39	26245.107	33930.67
Q15149 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15181	7419.8374	2014.775	8522.624	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15181 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15185	12756.284	4221.5244	12811.605	18037.072	13993.101	19955.852	NA	NA	NA	19919.775	12275.152	14844.074
Q15185 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15233	34251.992	12112.468	36352.79	41686.19	24661.275	58418.668	19841.84	23453.645	14880.107	32314.611	17457.701	30596.979
Q15233 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15293	2861.611	2177.5515	10047.568	6196.197	5307.458	7387.563	NA	NA	NA	NA	NA	NA
Q15293 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15363	3764.2766	1273.3204	4880.3076	2288.5151	5192.9736	11918.728	NA	NA	NA	6866.453	2234.8086	6571.5723
Q15363 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15365	72823.81	42394.574	135413.84	106865.72	91797.945	133899.56	70698.33	72361.52	59743.258	143102.9	85891.35	124182.516
Q15365 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15366	57931.49	22345.682	82500.18	65634.54	57478.742	85127.945	50702.043	62031.434	39856.125	69543.89	42466.707	69531.45
Q15366 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15369	7590.184	3445.7192	8991.08	NA	NA	NA	9767.242	10426.197	7469.166	10079.682	7913.502	10332.836
Q15369 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15370	1846.7667	894.1758	4546.9756	4533.523	2967.4866	3698.601	NA	NA	NA	NA	NA	NA
Q15370 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15393	7147.877	2642.0688	10918.035	15908.658	11428.65	21534.543	NA	NA	NA	NA	NA	NA
Q15393 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15436	7159.4795	993.8119	9623.535	7576.762	5755.6733	12344.537	6561.004	8184.7036	5729.307	NA	NA	NA
Q15436 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15459	1230.2981	743.11725	2488.2908	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15459 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15582	10087.584	5845.3594	9899.213	10229.02	8119.138	17434.533	6232.0117	6398.4937	10385.523	11572.645	6317.9087	9806.498
Q15582 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15637	2762.636	1838.8577	8958.604	3342.7344	5980.9907	9358.047	5251.868	7607.2827	1009.90393	6426.117	4511.932	6832.5625
Q15637 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15691	3707.206	4970.6616	10969.463	27943.629	28428.406	38365.504	14044.732	15225.2295	15061.325	8462.726	3306.5142	7725.3037
Q15691 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15717	320.84647	2273.129	708.44385	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15717 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15843	13124.561	4130.156	23290.957	9020.962	9108.773	14903.373	NA	NA	NA	NA	NA	NA
Q15843 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q15942	13189.031	5907.799	16588.998	19357.701	15285.586	22700.133	2092.6843	2109.1255	1442.3589	24446.938	19806.906	23183.287
Q15942 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16134	5978.9873	5442.629	7250.746	20818.777	11736.334	16875.148	NA	NA	NA	30655.137	22189.385	23327.508
Q16134 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16531	5754.7183	4565.5815	10646.688	10146.586	9970.393	12113.915	7362.927	9945.278	10919.525	16639.95	10538.365	11589.839
Q16531 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16555	16774.727	7807.3086	39054.523	35545.215	28234.762	48552.984	12902.293	17640.283	21035.541	50848.562	29216.008	45362.72
Q16555 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16629	17512.186	8657.002	22044.615	24878.484	15944.542	28515.559	8341.697	9680.11	10041.395	NA	NA	NA
Q16629 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16643	3909.092	377.98535	5430.2	3190.291	1541.8434	2655.3262	1173.5038	1906.2682	3803.3953	5275.1494	4084.5781	4467.7124
Q16643 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16658	19685.773	14400.773	43375.41	43502.156	38879.44	49819.703	32302.035	39553.758	29025.656	40089.484	36002.734	38632.516
Q16658 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16698	74270.94	43988.414	114922.39	47646.273	46174.99	56814.434	52762.484	60145.66	47836.875	60071.656	58446.14	59534.316
Q16698 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16718	12097.14	9396.6045	25434.545	32689.467	21700.656	32123.9	31431.238	37207.355	23139.854	28937.426	18242.512	27455.09
Q16718 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
