UNTR_The_002_1	UNTR_The_002_2	UNTR_The_002_3	UNTR_The_008_1	UNTR_The_008_2	UNTR_The_008_3	UNTR_The_024_1	UNTR_The_024_2	UNTR_The_024_3	UNTR_The_072_1	UNTR_The_072_2	UNTR_The_072_3
P06744 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P06748	50723.297	33853.32	98481.484	60912.797	52104.445	71052.75	28951.662	32701.459	26425.03	47326.66	43029.72	44815.082
P06748 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P06753	1.5459819	0.13455841	63.209194	NA	NA	NA	NA	NA	NA	NA	NA	NA
P06753 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P06756	8390.375	3152.4473	16884.549	4272.019	3032.7917	5282.2075	8628.725	11899.159	8491.666	3342.0073	1411.2754	2637.791
P06756 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P06865	5183.99	1228.9534	4717.5938	NA	NA	NA	6010.769	6483.0693	10511.461	NA	NA	NA
P06865 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07195	107690.32	62830.867	139036.86	125034.734	116315.414	141444.33	209543.75	235151.16	195308.06	112964.97	96429.22	104080.414
P07195 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07237	94632.04	44996.32	150560.1	108752.5	96557.53	165115.84	41159.973	43608.977	37366.86	108221.97	83502.8	95542.734
P07237 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
